english,hindi,punjabi
hello,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
thanks,धन्यवाद,ਧੰਨਵਾਦ
sorry,माफ़ कीजिए,ਮਾਫ਼ ਕਰਨਾ
yes,हाँ,ਹਾਂ
no,नहीं,ਨਹੀਂ
welcome,स्वागत है,ਸਵਾਗਤ ਹੈ
good morning,सुप्रभात,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
how are you,आप कैसे हैं,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
see you soon,जल्द मिलते हैं,ਜਲਦੀ ਮਿਲਦੇ ਹਾਂ
what is your name,आपका नाम क्या है,ਤੁਹਾਡਾ ਨਾਮ ਕੀ है
Where are you going?,आप कहाँ जा रहे हैं?,ਤੁਸੀਂ ਕਿੱਥੇ ਜਾ ਰਹੇ ਹੋ?
Why are you late?,आप देर से क्यों आए?,ਤੁਸੀਂ ਦੇਰ ਨਾਲ ਕਿਉਂ ਆਏ?
When will the project finish?,परियोजना कब पूरी होगी?,ਪ੍ਰੋਜੈਕਟ ਕਦੋਂ ਮੁਕੰਮਲ ਹੋਵੇਗਾ?
Can you help me?,क्या आप मेरी मदद कर सकते हैं?,ਕੀ ਤੁਸੀਂ ਮੇਰੀ ਮਦਦ ਕਰ ਸਕਦੇ ਹੋ?
he am writing a project quickly.,वह एक परियोजना लिख रहा हूँ जल्दी।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
they am learning the lesson tomorrow.,वे पाठ सीख रहा हूँ कल।,ਉਹ ਪਾਠ ਸਿੱਖ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
she learned artificial intelligence today.,वह कृत्रिम बुद्धिमत्ता सीखा आज।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਿਆ ਅੱਜ।
he am studying the lesson at university.,वह पाठ पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਉਹ ਪਾਠ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
i will write a book quickly.,मैं एक किताब लिखूँगा जल्दी।,ਮੈਂ ਇੱਕ ਕਿਤਾਬ ਲਿਖਾਂਗਾ ਜਲਦੀ।
he will learn a book quickly.,वह एक किताब सीखूँगा जल्दी।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਾਂਗਾ ਜਲਦੀ।
the student am studying data science at university.,छात्र डेटा साइंस पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਡਾਟਾ ਸਾਇੰਸ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
the student am reading a translation system tomorrow.,छात्र एक अनुवाद प्रणाली पढ़ रहा हूँ कल।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
the student am writing artificial intelligence at university.,छात्र कृत्रिम बुद्धिमत्ता लिख रहा हूँ विश्वविद्यालय में।,ਵਿਦਿਆਰਥੀ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਲਿਖ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
i will learn a project tomorrow.,मैं एक परियोजना सीखूँगा कल।,ਮੈਂ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਸਿੱਖਾਂਗਾ ਕੱਲ੍ਹ।
the teacher am building artificial intelligence tomorrow.,शिक्षक कृत्रिम बुद्धिमत्ता बना रहा हूँ कल।,ਅਧਿਆਪक ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਬਣਾ ਰਿਹਾ ਹਾਂ ਕੱਲ੍ਹ।
the student am building a book quickly.,छात्र एक किताब बना रहा हूँ जल्दी।,ਵਿਦਿਆਰਥੀ ਇੱਕ ਕਿਤਾਬ ਬਣਾ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
they learned artificial intelligence quickly.,वे कृत्रिम बुद्धिमत्ता सीखा जल्दी।,ਉਹ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਸਿੱਖਿਆ ਜਲਦੀ।
he will study a book at university.,वह एक किताब अध्ययन करूँगा विश्वविद्यालय में।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਅਧਿਐਨ ਕਰਾਂਗਾ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
he built the lesson carefully.,वह पाठ बनाया ध्यान से।,ਉਹ ਪਾਠ ਬਣਾਇਆ ਧਿਆਨ ਨਾਲ।
my friend am building data science at university.,मेरा दोस्त डेटा साइंस बना रहा हूँ विश्वविद्यालय में।,ਮੇਰਾ ਦੋਸਤ ਡਾਟਾ ਸਾਇੰਸ ਬਣਾ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
she am studying a translation system at university.,वह एक अनुवाद प्रणाली पढ़ाई कर रहा हूँ विश्वविद्यालय में।,ਉਹ ਇੱਕ ਅਨੁਵਾਦ ਪ੍ਰਣਾਲੀ ਪੜ੍ਹਾਈ ਕਰ ਰਿਹਾ ਹਾਂ ਯੂਨੀਵਰਸਿਟੀ ਵਿੱਚ।
they wrote a book tomorrow.,वे एक किताब लिखा कल।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਲਿਖਿਆ ਕੱਲ੍ਹ।
i studied artificial intelligence tomorrow.,मैं कृत्रिम बुद्धिमत्ता अध्ययन किया कल।,ਮੈਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਅਧਿਐਨ ਕੀਤਾ ਕੱਲ੍ਹ।
he am building a book quickly.,वह एक किताब बना रहा हूँ जल्दी।,ਉਹ ਇੱਕ ਕਿਤਾਬ ਬਣਾ ਰਿਹਾ ਹਾਂ ਜਲਦੀ।
we will read artificial intelligence today.,हम कृत्रिम बुद्धिमत्ता पढ़ूँगा आज।,ਅਸੀਂ ਕ੍ਰਿਤ੍ਰਿਮ ਬੁੱਧੀ ਪੜ੍ਹਾਂਗਾ ਅੱਜ।
he will write a project today.,वह एक परियोजना लिखूँगा आज।,ਉਹ ਇੱਕ ਪ੍ਰੋਜੈਕਟ ਲਿਖਾਂਗਾ ਅੱਜ।
my friend will learn a book quickly.,मेरा दोस्त एक किताब सीखूँगा जल्दी।,ਮੇਰਾ ਦੋਸਤ ਇੱਕ ਕਿਤਾਬ ਸਿੱਖਾਂਗਾ ਜਲਦੀ।
they will build machine learning today.,वे मशीन लर्निंग बनाऊँगा आज।,ਉਹ ਮਸ਼ੀਨ ਲਰਨਿੰਗ ਬਣਾਂਗਾ ਅੱਜ।
